Project Kickoff,9/20/2025,10:00,Conference Room A
Team Meeting,2025-08-02,14:00,Conference Room B
Project Kickoff,2025-09-23,10:30,Discord
Academic Committee Meeting,2025-10-16,09:00,Room B
KidWind Camp Planning,2025-10-17,13:00,Room F
Website Management Meeting,2025-10-22,13:30,Room C
Lab Safety Training,2025-10-23,11:00,Room E
School Event Photography Plan,2025-10-29,15:30,Room C
Smart Beaker Project Review,2025-10-19,09:30,Room A
Open House Live Broadcast Setup,2025-10-26,08:30,Room B
New Building Sound System Test,2025-10-24,14:00,Room F
KidWind Camp 2025 Summary,2025-10-27,13:00,Room G
Special Activities Committee,2025-10-25,10:00,Room D
Science Fair Preparation,2025-10-18,10:00,Room D
Student Project Planning,2025-10-28,09:00,Room H
